Verified Product,Verified Brand,Category,My Brand,My Product,Matched Name
- Pineapple Runtz - STIIIZY Starter Pack 1G Pod,STIIIZY,"Gummies, Candy, Edibles",STIIIZY,STIIIZY: FRUIT PUNCH SPLASH GUMMY HYBRID 100MG,- FRUIT PUNCH SPLASH - Gummies 100mg THC Edibles
,,"Gummies, Candy, Edibles",STIIIZY,STIIIZY: MANGO TANGO GUMMY SATIVA 100MG,- MANGO TANGO - Gummies 100mg THC Edibles
Vape Cartridge - PINK ACAI 1G Original THC Pod - STIIIZY,STIIIZY,"Gummies, Candy, Edibles",STIIIZY,STIIIZY: PINEAPPLE PARADISE GUMMY HYBRID 100MG,- PINEAPPLE PARADISE - Gummies 100mg THC Edibles
Vape Cartridge - WHITE RASPBERRY .5G Original THC Pod - STIIIZY,STIIIZY,"Gummies, Candy, Edibles",STIIIZY,STIIIZY: SOUR APPLE GUMMY HYBRID 100MG,- SOUR APPLE - Gummies 100mg THC Edibles
Vape Cartridge - NORTHERN LIGHTS .5G Live Resin Liquid Diamonds Pod,STIIIZY,"Gummies, Candy, Edibles",STIIIZY,STIIIZY: WATERMELON WAVE GUMMY HYBRID 100MG,- WATERMELON WAVE - Gummies 100mg THC Edibles
- MANGO TANGO - Gummies 100mg THC Edibles,STIIIZY,"Gummies, Candy, Edibles",STIIIZY,STIIIZY: MIDNIGHT BERRY 2:1 THCCBN GUMMY INDICA 150MG,- MIDNIGHT BERRY - Gummies 2:1 THC:CBN Edibles
- MIDNIGHT BERRY - Gummies 2:1 THC:CBN Edibles,STIIIZY,"Gummies, Candy, Edibles",STIIIZY,STIIIZY: 150MG WHITE BERRY 2:1 THCCBN GUMMY INDICA 100MG,- WHITE BERRY - Gummies 2:1 THC:CBN Edibles
,,Infused Pre Roll,STIIIZY,1G BISCOTTI 40'S INFUSED PREROLL BY STIIIZY,- BISCOTTI - 1G 40's Infused Preroll
,,"Crystalline, Concentrates",STIIIZY,STIIIZY: DIAMOND OG DIAMONDS INDICA 1G,- DIAMOND OG - Live Resin Diamonds
- BLUEBERRY MUFFIN - Crushed Diamonds,STIIIZY,"Pods, Vape Pens",STIIIZY,STIIIZY: ORANGE SUNSET POD SATIVA 1G,- Orange Sunset - Live Rosin Badder - 1g
- CREME BRULEE - Live Rosin Badder,STIIIZY,"Pods, Vape Pens",STIIIZY,STIIIZY: PREMIUM JACK POD SATIVA 1G,Vape - BISCOTTI 1G All-In-One
- BLUE BURST - .5G 40's Infused Preroll 5 Pack,STIIIZY,"Crystalline, Concentrates",STIIIZY,STIIIZY: RAINBOW CAKE DIAMONDS INDICA 1G,- RAINBOW CAKE - Live Resin Diamonds
- BLUE BURST - 1G 40's Infused Preroll,STIIIZY,"Live Resin, Concentrates",STIIIZY,STIIIZY: RAINBOW MINTZ CURATED LIVE RESIN INDICA 1G,- RAINBOW MINTZ - Live Resin
- BLUE BURST - 3.5G 40's Infused Flower Jar,STIIIZY,"Crystalline, Concentrates",STIIIZY,STIIIZY: SOUR BELTS DIAMONDS SATIVA 1G,- SOUR BELTZ - Crushed Diamonds
- BLUE DREAM - .5G 40's Infused Preroll 5 Pack,STIIIZY,"Live Resin, Concentrates",STIIIZY,STIIIZY: SOUR PUNCH CURATED LIVE RESIN HYBRID 1G,- SOUR PUNCH - Live Resin
